CRN,Campus Description,Course Title,Subject Course,Faculty Name,Course Description,Term,Begin Time,End Time,Days,Prerequisites
32497,Boston,Introduction to Computer Science Research,CS3950,"Hamlin, Ariel","Introduces students to research in the fields of computer science, information science, data science, and cybersecurity. Explores how the scientific method is applied to these fields and covers the breadth of subareas of specialty that exist. Offers students an opportunity to practice how to locate and read scientific literature in different subareas. Also offers students an overview of graduate education in these fields.",Spring 2025,1450,1630,Wednesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2500'}]"
39796,Boston,Artificial Intelligence and Society,CS4050,"Fazel-pour, Sina",Examines the societal impact of artificial intelligence technologies and prominent strategies for aligning these impacts with social and ethical values. Offers multidisciplinary readings to provide conceptual lenses for understanding these technologies in their contexts of use.,Spring 2025,1450,1630,"Monday, Wednesday",[]
30174,Online,Artificial Intelligence,CS4100,"Wong, Lok Sang","Introduces the fundamental problems, theories, and algorithms of the artificial intelligence field. Includes heuristic search; knowledge representation using predicate calculus; automated deduction and its applications; planning; and machine learning. Additional topics include game playing; uncertain reasoning and expert systems; natural language processing; logic for common-sense reasoning; ontologies; and multiagent systems.",Spring 2025,,,,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3500'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '3500'}]"
35471,Online,Building Game Engines,CS4850,"Sajnovsky, Ryon","Discusses the components of game engines and strategies for their software implementation. Includes graphics management algorithms (animation, scene graph, level of detail); basic artificial intelligence algorithms (search, decision making, sensing); and related algorithmic issues (networking, threading, input processing). Explores the use of data-driven software design. Offers students an opportunity to use a rendering engine and to build and integrate several software components to create a complete game engine. Requires students to work on several individual assignments to apply the algorithms and then develop a project in a team. Offers students an opportunity to learn team/project management; work division; team communication; and the software development cycle of implementation, testing, critique, and further iteration. Students who do not meet course prerequisites may seek permission of instructor.",Spring 2025,,,,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3520'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '3540'}]"
37240,Boston,Network Analysis,CS4973,"Venkatesaramani, Rajagopal","Offers a lecture course in computer science on a topic not regularly taught in a formal course. Topics may vary from offering to offering. May be repeated up to three times. Section information text: This course explores network analysis, a cross-disciplinary field that studies the structure and dynamics of complex systems. The course will cover the mathematical concepts of graph theory, including the study of network structure, information flow dynamics and the processes through which we model the evolution of networks over time. The course will also introduce students to state-of-the-art tools and software used for network analysis, with a focus on efficiently processing very large graphs. The syllabus covers: Graph theory & mathematical modeling Network measures Graph algorithms, proofs based on network structure Information propagation - ranking algorithms, epidemic models, viral marketing Community detection, and clustering algorithms Practical considerations - working with large graphs, efficient frameworks, and visualizations Experience with Python recommended.",Spring 2025,1335,1440,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3000'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '3500'}, {'and_or': 'And', 'subject': 'Mathematics', 'course_number': '2331'}]"
37246,Boston,Engineering LLM-integrated Sys,CS4973,"Guha, Arjun","Offers a lecture course in computer science on a topic not regularly taught in a formal course. Topics may vary from offering to offering. May be repeated up to three times. Section information text: Generative AI has raised our expectations of what is possible with software. The previous generation of AI assistants had a narrow set of skills and limited fluency in natural language. However, recent advances in large language models (LLMs) have shown that it is possible to build software systems with a far more natural and fluid interface. These LLM-integrated systems turn natural language instructions into actions and are starting to appear in everything from office apps to robots. In this course, we will study the software engineering foundations for LLM-integrated systems. Students will learn how to build these systems, integrate them with existing software, rigorously test their behavior, and understand their failure modes and limitations. This is a programming intensive course and students will be expected to be proficient at programming and testing software that does not use LLMs. We will primarily work in Python, but prior Python experience is not required.",Spring 2025,1335,1515,"Tuesday, Friday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3000'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '3500'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '3500'}]"
38144,Boston,Research in Human-Centered NLP,CS4973,"Yun, Hye Sun","Offers a lecture course in computer science on a topic not regularly taught in a formal course. Topics may vary from offering to offering. May be repeated up to three times. Section information text: Course Description: This course aims to provide a human-centered perspective toward modern language technologies and highlights research topics shared between Human-Computer Interactions (HCI) and Natural Language Processing (NLP). In this course, you will learn and apply research methods for designing and developing human-centered NLP applications and systems. In the process, you will practice HCI research methods to design user-centered language technologies or interactive systems in a capstone project. As part of the course, you will read research papers at the intersection of NLP and HCI and practice critically evaluating them to identify future research directions. The course should help students gain the skills and confidence to pursue research at the intersection of HCI and NLP. Pre-requisites: CS 4100 Artificial Intelligence, DS 4400 Machine Learning and Data Mining 1, OR CS 4120 Natural Language Processing is highly recommended for AI concentration students. However, this can be waived if the student can demonstrate some previous experience with Natural Language Processing (NLP), through applied projects or co-ops. IS 4300 Human Computer Interaction, IS 4800 Empirical Research Methods, CS 4120 Natural Language Processing, CS 4520 Mobile Application Development, OR CS 4550 Web Development highly recommended for HCC concentration students. The coursework will only cover a crash course on NLP and the basics of using Large Language Models (LLMs) but will not cover the details of Python programming. While previous experience with specific technologies is not required, being proficient and comfortable with extensive programming is a fundamental prerequisite for this course. For the capstone project, there are opportunities for students with different strengths in their skills to collaborate. Students can reach out to the instructor to discuss pre-requisite skills.",Spring 2025,1450,1630,"Monday, Wednesday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '4100'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '4400'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '4120'}, {'and_or': 'Or', 'subject': 'Information Science', 'course_number': '4300'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '4520'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '4550'}]"
39804,Boston,Operating Systems Implementati,CS4973,"Tan, Cheng",Offers a lecture course in computer science on a topic not regularly taught in a formal course. Topics may vary from offering to offering. May be repeated up to three times.,Spring 2025,1800,2120,Monday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3000'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '3500'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '3500'}]"
40551,"Portland, Maine",Intensive Foundations of Computer Science,CS5001,"Domino, Molly","Introduces systematic problem solving through programming. Offers students an opportunity to learn how to analyze a problem, how to divide and organize the problem into appropriate components, how to describe the problem in a computer language, how to analyze and understand the behavior of their programs, and how to test that their programs are working correctly. Additionally, introduces a method of program design called object-oriented programming and various ways to organize data, including a discussion of their advantages and disadvantages. To practice the course concepts, students undertake assignments ranging from small, highly specified programming tasks to larger open-ended problems where students design and code their own solutions.",Spring 2025,1800,2120,Tuesday,[]
40614,"Seattle, WA",Intensive Foundations of Computer Science,CS5001,"Geeng, Chris","Introduces systematic problem solving through programming. Offers students an opportunity to learn how to analyze a problem, how to divide and organize the problem into appropriate components, how to describe the problem in a computer language, how to analyze and understand the behavior of their programs, and how to test that their programs are working correctly. Additionally, introduces a method of program design called object-oriented programming and various ways to organize data, including a discussion of their advantages and disadvantages. To practice the course concepts, students undertake assignments ranging from small, highly specified programming tasks to larger open-ended problems where students design and code their own solutions.",Spring 2025,1800,2120,Wednesday,[]
41834,Online,Intensive Foundations of Computer Science,CS5001,"Domino, Molly","Introduces systematic problem solving through programming. Offers students an opportunity to learn how to analyze a problem, how to divide and organize the problem into appropriate components, how to describe the problem in a computer language, how to analyze and understand the behavior of their programs, and how to test that their programs are working correctly. Additionally, introduces a method of program design called object-oriented programming and various ways to organize data, including a discussion of their advantages and disadvantages. To practice the course concepts, students undertake assignments ranging from small, highly specified programming tasks to larger open-ended problems where students design and code their own solutions.",Spring 2025,1800,2120,Tuesday,[]
40682,"Silicon Valley, CA",Intensive Foundations of Computer Science,CS5001,"Narins, Lothar","Introduces systematic problem solving through programming. Offers students an opportunity to learn how to analyze a problem, how to divide and organize the problem into appropriate components, how to describe the problem in a computer language, how to analyze and understand the behavior of their programs, and how to test that their programs are working correctly. Additionally, introduces a method of program design called object-oriented programming and various ways to organize data, including a discussion of their advantages and disadvantages. To practice the course concepts, students undertake assignments ranging from small, highly specified programming tasks to larger open-ended problems where students design and code their own solutions.",Spring 2025,1500,1820,Wednesday,[]
40683,"Vancouver, Canada",Intensive Foundations of Computer Science,CS5001,"Coria Mendoza, Lino","Introduces systematic problem solving through programming. Offers students an opportunity to learn how to analyze a problem, how to divide and organize the problem into appropriate components, how to describe the problem in a computer language, how to analyze and understand the behavior of their programs, and how to test that their programs are working correctly. Additionally, introduces a method of program design called object-oriented programming and various ways to organize data, including a discussion of their advantages and disadvantages. To practice the course concepts, students undertake assignments ranging from small, highly specified programming tasks to larger open-ended problems where students design and code their own solutions.",Spring 2025,1045,1245,Monday,[]
35470,Boston,Robotic Science and Systems,CS4610,"Tan, Xiang Zhi","Introduces autonomous mobile robots, with a focus on algorithms and software development, including closed-loop control, robot software architecture, wheeled locomotion and navigation, tactile and basic visual sensing, obstacle detection and avoidance, and grasping and manipulation of objects. Offers students an opportunity to progressively construct mobile robots from a predesigned electromechanical kit. The robots are controlled wirelessly by software of the students’ own design, built within a provided robotics software framework. The course culminates in a grand challenge competition using all features of the robots.",Spring 2025,1450,1630,"Monday, Wednesday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3500'}]"
32498,Boston,Network Fundamentals,CS4700,"Jackson, Alden","Introduces the fundamental concepts of network protocols and network architectures. Presents the different harmonizing functions needed for the communication and effective operation of computer networks. Provides in-depth coverage of data link control, medium access control, routing, end-to-end transport protocols, congestion and flow control, multicasting, naming, auto configuration, quality of service, and network management. Studies the abstract mechanisms and algorithms as implemented in real-world Internet protocols. Also covers the most common application protocols (e-mail, Web, and ftp).",Spring 2025,0950,1130,"Tuesday, Friday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3650'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5600'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5600'}]"
39800,Boston,Network Fundamentals,CS4700,"Jackson, Alden","Introduces the fundamental concepts of network protocols and network architectures. Presents the different harmonizing functions needed for the communication and effective operation of computer networks. Provides in-depth coverage of data link control, medium access control, routing, end-to-end transport protocols, congestion and flow control, multicasting, naming, auto configuration, quality of service, and network management. Studies the abstract mechanisms and algorithms as implemented in real-world Internet protocols. Also covers the most common application protocols (e-mail, Web, and ftp).",Spring 2025,1335,1515,"Tuesday, Friday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3650'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5600'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5600'}]"
39801,Boston,Network Fundamentals,CS4700,"Jackson, Alden","Introduces the fundamental concepts of network protocols and network architectures. Presents the different harmonizing functions needed for the communication and effective operation of computer networks. Provides in-depth coverage of data link control, medium access control, routing, end-to-end transport protocols, congestion and flow control, multicasting, naming, auto configuration, quality of service, and network management. Studies the abstract mechanisms and algorithms as implemented in real-world Internet protocols. Also covers the most common application protocols (e-mail, Web, and ftp).",Spring 2025,1525,1705,"Tuesday, Friday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3650'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5600'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5600'}]"
39802,Boston,Distributed Systems,CS4730,"Nita-Rotaru, Cristina","Introduces distributed systems, covering fundamental concepts and showing how they are applied to build reliable distributed services. Examines several existing distributed applications, such as file systems, databases, lock services, digital currencies, smart contracts, and machine learning, and how these applications must coordinate to function and overcome failures, network partitions, or compromised parties. Distributed systems, such as databases, cloud services, and blockchains, are omnipresent in the services and applications that serve society on a daily basis.",Spring 2025,1450,1630,"Monday, Wednesday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3650'}]"
39805,Boston,Understanding Users,CS4973,"DeVito, Michael Ann","Offers a lecture course in computer science on a topic not regularly taught in a formal course. Topics may vary from offering to offering. May be repeated up to three times. Section information text: Introduces basic and advanced frameworks and methodological tools for understanding and accounting for the characteristics, needs, and attitudes of individual users and user groups. Covers how to better understand users from both a system design and sociotechnical system critique perspective via qualitative, interpretivist, and community-focused methods, as well as how to account for how users themselves understand and adapt to systems via approaches including mental models and folk theorization.",Spring 2025,1450,1630,Thursday,[]
39806,Boston,Animal-Computer Interaction,CS4973,"Kleinberger, Rebecca","Offers a lecture course in computer science on a topic not regularly taught in a formal course. Topics may vary from offering to offering. May be repeated up to three times. Section information text: Course Description: This special topic course introduces students to the field of Animal-Computer Interaction (ACI), focusing on the design and implementation of interactive systems for animals. Throughout the semester, students will explore the ethical considerations, species-specific requirements, and bespoke design methodologies necessary to create meaningful and enriching technologies for animals. The course covers various contexts, including pets, zoos, farms, and wildlife, emphasizing the importance of preference testing and understanding animals' needs. This is a project-based course where each student will design, build, and evaluate a novel interactive system for animals. Students will engage in hands-on projects, applying interdisciplinary knowledge from human-computer interaction, animal science, bioacoustics, and animal welfare. The curriculum includes collaboration with local partners such as aquariums, zoos, and animal shelters, providing real-world applications of ACI principles. The course also features guest lectures from renowned animal researchers, behaviorists, caretakers, and engineers, offering diverse insights and expertise. Prerequisites: IS 4300 Human-Computer Interaction Permission of the instructor Previous experience in software development, hardware prototyping, design, or animal science Course Objectives: Introduce the history and current state of ACI, including key stakeholders and adjacent fields. Examine ethical considerations and the importance of agency and welfare in designing for animals. Analyze and apply various data collection methods, including behavioral analysis, surveys, and automated video analysis. Explore technologies and interactive systems designed for animal use, considering their sensory and perceptual capabilities. Investigate the role of ACI in conservation, animal care, and social enrichment. Design, prototype, implement, and evaluate computer-based devices tailored to specific species and contexts. Key Topics: Introduction to ACI and its history Ethical considerations in ACI Stakeholders in ACI: Animals, pet owners, veterinarians, zoo caretakers, farmers, government and policies, and more Pet technology and its impact on animal welfare Data collection and analysis in ACI Technologies for animals: audio, vision, and enrichment ACI's role in conservation and animal care Social enrichment and its benefits for animals Course Structure: Weekly lectures and discussions Guest lectures from renowned animal researchers, behaviorists, caretakers, and engineers Practical design and weekly labs/ prototyping sessions Midterm presentations on ACI research papers, focusing on context, motivation, research questions, methods, ethical considerations, results, and discussions Final projects involving the design, implementation, and evaluation of an interactive system for a specific animal species This course is ideal for students passionate about leveraging technology to enhance animal welfare and agency, providing a unique opportunity to engage with cutting-edge research and practical applications in ACI. Previous experience in software development, hardware prototyping, design, or animal science suggested. All interested students, including those from other colleges or students not meeting official prerequisites, are encouraged to contact the instructor at r.kleinberger@northeastern.edu to discuss access.",Spring 2025,1335,1515,"Tuesday, Friday","[{'and_or': '', 'subject': 'Information Science', 'course_number': '4300'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5340'}]"
41142,Boston,Alg for Scalable Comp.,CS4973,"Pandey, Prashant","Offers a lecture course in computer science on a topic not regularly taught in a formal course. Topics may vary from offering to offering. May be repeated up to three times. Section information text: Topic: Data Structures & Algorithms for Scalable Computing This course studies advanced data structures and algorithms for handling scalability challenges in large-scale data analysis and machine learning pipelines. It will cover modern hashing techniques, filters and sketching algorithms, locality sensitive-hashing, succinct data structures, string algorithms, graph algorithms, external memory algorithms, and learned indexes. This course is appropriate for both undergraduate and graduate students with intermediate data structure and algorithm skills. The course will also require intermediate programming skills in C/C++. Website: https://prashantpandey.github.io/teaching/spring-2025-cs-7280-data-structures-algorithms-for-scalable-computing/",Spring 2025,1450,1630,"Monday, Wednesday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3000'}]"
41678,Boston,Intro to Offsec Development,CS4973,"Bernardini, Kai","Offers a lecture course in computer science on a topic not regularly taught in a formal course. Topics may vary from offering to offering. May be repeated up to three times. Section information text: The class introduces students to the wild world of offensive capabilities development and cyber threat hunting by taking on the role of both attacker and defender to better understand various stages of cyber attacks. Focusing on aarch64 Linux, students will create and analyze malware in the context of combating a simulated threat actor APT-Ch0nkyBear in addition to creating their own tools to emulate the fictional APT's capabilities. As an experimental feature this year, students will also practice hacking by attempting to hack the hackers-- you will be writing and deploying capabilities to gather information about ""compromised"" APT-Ch0nky Bear Infrastructure. The course culminates in a final project with the goal of developing production ready implant and command and control server targeting raspberry pi model >=4.",Spring 2025,1800,2120,Wednesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '3000'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '3500'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '3500'}]"
32083,Boston,Intensive Foundations of Computer Science,CS5001,"Bagley, Keith","Introduces systematic problem solving through programming. Offers students an opportunity to learn how to analyze a problem, how to divide and organize the problem into appropriate components, how to describe the problem in a computer language, how to analyze and understand the behavior of their programs, and how to test that their programs are working correctly. Additionally, introduces a method of program design called object-oriented programming and various ways to organize data, including a discussion of their advantages and disadvantages. To practice the course concepts, students undertake assignments ranging from small, highly specified programming tasks to larger open-ended problems where students design and code their own solutions.",Spring 2025,1800,2120,Monday,[]
35417,Boston,Discrete Structures,CS5002,"Amor-Tijani, Ghita","Introduces the mathematical structures and methods that form the foundation of computer science. Studies structures such as sets, tuples, sequences, lists, trees, and graphs. Discusses functions, relations, ordering, and equivalence relations. Examines inductive and recursive definitions of structures and functions. Covers principles of proof such as truth tables, inductive proof, and basic logic and the counting techniques and arguments needed to estimate the size of sets, the growth of functions, and the space-time complexity of algorithms. Also, discusses data structures such as arrays, stacks, queues, lists, and the algorithms that manipulate them.",Spring 2025,1450,1630,"Monday, Wednesday",[]
35638,Online,Discrete Structures,CS5002,"Stern, Jesse","Introduces the mathematical structures and methods that form the foundation of computer science. Studies structures such as sets, tuples, sequences, lists, trees, and graphs. Discusses functions, relations, ordering, and equivalence relations. Examines inductive and recursive definitions of structures and functions. Covers principles of proof such as truth tables, inductive proof, and basic logic and the counting techniques and arguments needed to estimate the size of sets, the growth of functions, and the space-time complexity of algorithms. Also, discusses data structures such as arrays, stacks, queues, lists, and the algorithms that manipulate them. Section information text: Open to Align Online only",Spring 2025,,,,[]
40552,"Portland, Maine",Discrete Structures,CS5002,"Ganzell, Sanford","Introduces the mathematical structures and methods that form the foundation of computer science. Studies structures such as sets, tuples, sequences, lists, trees, and graphs. Discusses functions, relations, ordering, and equivalence relations. Examines inductive and recursive definitions of structures and functions. Covers principles of proof such as truth tables, inductive proof, and basic logic and the counting techniques and arguments needed to estimate the size of sets, the growth of functions, and the space-time complexity of algorithms. Also, discusses data structures such as arrays, stacks, queues, lists, and the algorithms that manipulate them.",Spring 2025,1800,2120,Wednesday,[]
40617,"Seattle, WA",Discrete Structures,CS5002,"Jelani, Andrew","Introduces the mathematical structures and methods that form the foundation of computer science. Studies structures such as sets, tuples, sequences, lists, trees, and graphs. Discusses functions, relations, ordering, and equivalence relations. Examines inductive and recursive definitions of structures and functions. Covers principles of proof such as truth tables, inductive proof, and basic logic and the counting techniques and arguments needed to estimate the size of sets, the growth of functions, and the space-time complexity of algorithms. Also, discusses data structures such as arrays, stacks, queues, lists, and the algorithms that manipulate them.",Spring 2025,1800,2120,Tuesday,[]
40685,"Silicon Valley, CA",Discrete Structures,CS5002,"Saad, Nadim","Introduces the mathematical structures and methods that form the foundation of computer science. Studies structures such as sets, tuples, sequences, lists, trees, and graphs. Discusses functions, relations, ordering, and equivalence relations. Examines inductive and recursive definitions of structures and functions. Covers principles of proof such as truth tables, inductive proof, and basic logic and the counting techniques and arguments needed to estimate the size of sets, the growth of functions, and the space-time complexity of algorithms. Also, discusses data structures such as arrays, stacks, queues, lists, and the algorithms that manipulate them. Section information text: Section meets Monday in room 1045 and & Thursday in room 916",Spring 2025,1500,1640,Thursday,[]
40687,"Vancouver, Canada",Discrete Structures,CS5002,"Hoshino, Richard","Introduces the mathematical structures and methods that form the foundation of computer science. Studies structures such as sets, tuples, sequences, lists, trees, and graphs. Discusses functions, relations, ordering, and equivalence relations. Examines inductive and recursive definitions of structures and functions. Covers principles of proof such as truth tables, inductive proof, and basic logic and the counting techniques and arguments needed to estimate the size of sets, the growth of functions, and the space-time complexity of algorithms. Also, discusses data structures such as arrays, stacks, queues, lists, and the algorithms that manipulate them.",Spring 2025,1300,1500,Thursday,[]
32084,Boston,Recitation for CS 5001,CS5003,"Bagley, Keith",Provides a small-group discussion format to cover material in CS 5001. <i>Coreq CS 5001.</i>,Spring 2025,1810,1940,Thursday,[]
35641,Boston,Recitation for CS 5001,CS5003,"Bagley, Keith",Provides a small-group discussion format to cover material in CS 5001. <i>Coreq CS 5001.</i>,Spring 2025,1950,2120,Thursday,[]
40553,"Portland, Maine",Recitation for CS 5001,CS5003,"Domino, Molly",Provides a small-group discussion format to cover material in CS 5001. <i>Coreq CS 5001.</i>,Spring 2025,1800,1930,Thursday,[]
40618,"Seattle, WA",Recitation for CS 5001,CS5003,"Geeng, Chris",Provides a small-group discussion format to cover material in CS 5001. <i>Coreq CS 5001.</i>,Spring 2025,1800,1930,Monday,[]
40688,"Silicon Valley, CA",Recitation for CS 5001,CS5003,"Narins, Lothar",Provides a small-group discussion format to cover material in CS 5001. <i>Coreq CS 5001.</i>,Spring 2025,1500,1630,Friday,[]
40689,"Silicon Valley, CA",Recitation for CS 5001,CS5003,"Narins, Lothar",Provides a small-group discussion format to cover material in CS 5001. <i>Coreq CS 5001.</i>,Spring 2025,1700,1830,Friday,[]
40690,"Vancouver, Canada",Recitation for CS 5001,CS5003,"Coria Mendoza, Lino",Provides a small-group discussion format to cover material in CS 5001. <i>Coreq CS 5001.</i>,Spring 2025,1045,1245,Wednesday,[]
41835,Online,Recitation for CS 5001,CS5003,"Domino, Molly",Provides a small-group discussion format to cover material in CS 5001. <i>Coreq CS 5001.</i>,Spring 2025,1800,1930,Thursday,[]
40588,"Arlington, VA",Object-Oriented Design,CS5004,"Jung, Youna","Presents a comparative approach to object-oriented programming and design. Discusses the concepts of object, class, metaclass, message, method, inheritance, and genericity. Reviews forms of polymorphism in object-oriented languages. Contrasts the use of inheritance and composition as dual techniques for software reuse&#8212;forwarding vs. delegation and subclassing vs. subtyping. Offers students an opportunity to obtain a deeper understanding of the principles of object-oriented programming and design, including software components, object-oriented design patterns, and the use of graphical design notations such as UML (unified modeling language). Illustrates basic concepts in object-oriented design with case studies in application frameworks and by writing programs in Java.",Spring 2025,1800,1940,"Monday, Wednesday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '5002'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5002'}]"
40554,"Portland, Maine",Object-Oriented Design,CS5004,"Cantrell, Gary","Presents a comparative approach to object-oriented programming and design. Discusses the concepts of object, class, metaclass, message, method, inheritance, and genericity. Reviews forms of polymorphism in object-oriented languages. Contrasts the use of inheritance and composition as dual techniques for software reuse&#8212;forwarding vs. delegation and subclassing vs. subtyping. Offers students an opportunity to obtain a deeper understanding of the principles of object-oriented programming and design, including software components, object-oriented design patterns, and the use of graphical design notations such as UML (unified modeling language). Illustrates basic concepts in object-oriented design with case studies in application frameworks and by writing programs in Java.",Spring 2025,1800,2120,Monday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '5002'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5002'}]"
40620,"Seattle, WA",Object-Oriented Design,CS5004,"Bonaci, Tamara","Presents a comparative approach to object-oriented programming and design. Discusses the concepts of object, class, metaclass, message, method, inheritance, and genericity. Reviews forms of polymorphism in object-oriented languages. Contrasts the use of inheritance and composition as dual techniques for software reuse&#8212;forwarding vs. delegation and subclassing vs. subtyping. Offers students an opportunity to obtain a deeper understanding of the principles of object-oriented programming and design, including software components, object-oriented design patterns, and the use of graphical design notations such as UML (unified modeling language). Illustrates basic concepts in object-oriented design with case studies in application frameworks and by writing programs in Java.",Spring 2025,1000,1320,Thursday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '5002'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5002'}]"
40621,"Seattle, WA",Object-Oriented Design,CS5004,"Geeng, Chris","Presents a comparative approach to object-oriented programming and design. Discusses the concepts of object, class, metaclass, message, method, inheritance, and genericity. Reviews forms of polymorphism in object-oriented languages. Contrasts the use of inheritance and composition as dual techniques for software reuse&#8212;forwarding vs. delegation and subclassing vs. subtyping. Offers students an opportunity to obtain a deeper understanding of the principles of object-oriented programming and design, including software components, object-oriented design patterns, and the use of graphical design notations such as UML (unified modeling language). Illustrates basic concepts in object-oriented design with case studies in application frameworks and by writing programs in Java.",Spring 2025,1000,1320,Tuesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '5002'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5002'}]"
40692,"Silicon Valley, CA",Object-Oriented Design,CS5004,"Miller, Mark","Presents a comparative approach to object-oriented programming and design. Discusses the concepts of object, class, metaclass, message, method, inheritance, and genericity. Reviews forms of polymorphism in object-oriented languages. Contrasts the use of inheritance and composition as dual techniques for software reuse&#8212;forwarding vs. delegation and subclassing vs. subtyping. Offers students an opportunity to obtain a deeper understanding of the principles of object-oriented programming and design, including software components, object-oriented design patterns, and the use of graphical design notations such as UML (unified modeling language). Illustrates basic concepts in object-oriented design with case studies in application frameworks and by writing programs in Java.",Spring 2025,1300,1620,Tuesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '5002'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5002'}]"
40693,"Silicon Valley, CA",Object-Oriented Design,CS5004,"Sharif Rohani, Aida","Presents a comparative approach to object-oriented programming and design. Discusses the concepts of object, class, metaclass, message, method, inheritance, and genericity. Reviews forms of polymorphism in object-oriented languages. Contrasts the use of inheritance and composition as dual techniques for software reuse&#8212;forwarding vs. delegation and subclassing vs. subtyping. Offers students an opportunity to obtain a deeper understanding of the principles of object-oriented programming and design, including software components, object-oriented design patterns, and the use of graphical design notations such as UML (unified modeling language). Illustrates basic concepts in object-oriented design with case studies in application frameworks and by writing programs in Java.",Spring 2025,1500,1820,Monday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '5002'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5002'}]"
40694,"Vancouver, Canada",Object-Oriented Design,CS5004,"Buchanan, John","Presents a comparative approach to object-oriented programming and design. Discusses the concepts of object, class, metaclass, message, method, inheritance, and genericity. Reviews forms of polymorphism in object-oriented languages. Contrasts the use of inheritance and composition as dual techniques for software reuse&#8212;forwarding vs. delegation and subclassing vs. subtyping. Offers students an opportunity to obtain a deeper understanding of the principles of object-oriented programming and design, including software components, object-oriented design patterns, and the use of graphical design notations such as UML (unified modeling language). Illustrates basic concepts in object-oriented design with case studies in application frameworks and by writing programs in Java.",Spring 2025,1045,1245,Tuesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5001'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '5002'}, {'and_or': 'Or', 'subject': 'Computer Science', 'course_number': '5002'}]"
